name,ticker,market,sector
LankaBangla Finance PLC,LANKABAFIN,DSEBD,Finance
Legacy Footwear Ltd.,LEGACYFOOT,DSEBD,Consumer non-durables
LafargeHolcim Bangladesh PLC,LHB,DSEBD,Non-energy minerals
Libra Infusions Ltd.,LIBRAINFU,DSEBD,Health technology
Linde Bangladesh Limited,LINDEBD,DSEBD,Process industries
Taufika Foods and Lovello Ice-cream PLC,LOVELLO,DSEBD,Consumer non-durables
Lub-rref (Bangladesh) Ltd,LRBDL,DSEBD,Process industries
Magura Multiplex PLC,MAGURAPLEX,DSEBD,Consumer services
Maksons Spinning Mills PLC,MAKSONSPIN,DSEBD,Process industries
Malek Spinning Mills PLC,MALEKSPIN,DSEBD,Process industries
Marico Bangladesh Limited.,MARICO,DSEBD,Consumer non-durables
Matin Spinning PLC,MATINSPINN,DSEBD,Process industries
Meghna Condensed Milk Industries Ltd.,MEGCONMILK,DSEBD,Consumer non-durables
Meghna Cement Mills PLC,MEGHNACEM,DSEBD,Non-energy minerals
Meghna Insurance Company Ltd,MEGHNAINS,DSEBD,Finance
Meghna Life Insurance PLC,MEGHNALIFE,DSEBD,Finance
Meghna Pet Industries Ltd.,MEGHNAPET,DSEBD,Consumer non-durables
Mercantile Bank PLC,MERCANBANK,DSEBD,Finance
Mercantile Islami Insurance PLC,MERCINS,DSEBD,Finance
Metro Spinning Ltd.,METROSPIN,DSEBD,Process industries
Mozaffar Hossain Spinning Mills Ltd.,MHSML,DSEBD,Process industries
MIDAS Financing PLC,MIDASFIN,DSEBD,Finance
Midland Bank PLC,MIDLANDBNK,DSEBD,Finance
Miracle Industries Limited,MIRACLEIND,DSEBD,Process industries
Mir Akhter Hossain Ltd,MIRAKHTER,DSEBD,Industrial services
Mithun Knitting & Dyeing (CEPZ) Ltd.,MITHUNKNIT,DSEBD,Process industries
MJL Bangladesh PLC,MJLBD,DSEBD,Process industries
M.L. Dyeing & Textile Ind. PLC,MLDYEING,DSEBD,Process industries
Monno Agro & General Machinery Ltd.,MONNOAGML,DSEBD,Producer manufacturing
Monno Ceramic Industries Limited.,MONNOCERA,DSEBD,Consumer durables
Monno Fabrics Ltd.,MONNOFABR,DSEBD,Process industries
Monospool Bangladesh PLC,MONOSPOOL,DSEBD,Process industries
Meghna Petroleum Limited,MPETROLEUM,DSEBD,Distribution services
Mutual Trust Bank PLC,MTB,DSEBD,Finance
Nahee Aluminum Composite Panel PLC,NAHEEACP,DSEBD,Non-energy minerals
National Life Insurance PLC,NATLIFEINS,DSEBD,Finance
Navana CNG Limited,NAVANACNG,DSEBD,Utilities
Navana Pharmaceuticals PLC,NAVANAPHAR,DSEBD,Health technology
National Bank Limited,NBL,DSEBD,Finance
National Credit and Commerce Bank PLC,NCCBANK,DSEBD,Finance
New Line Clothings Ltd.,NEWLINE,DSEBD,Consumer non-durables
National Feed Mill Ltd,NFML,DSEBD,Process industries
National Housing Finance PLC,NHFIL,DSEBD,Finance
Nitol Insurance Co. Ltd.,NITOLINS,DSEBD,Finance
Northern Jute Manufacturing Co. Ltd.,NORTHERN,DSEBD,Process industries
Northern Islami Insurance PLC,NORTHRNINS,DSEBD,Finance
National Polymer Industries PLC,NPOLYMER,DSEBD,Producer manufacturing
NRB Bank PLC,NRBBANK,DSEBD,Finance
NRBC Bank PLC,NRBCBANK,DSEBD,Finance
National Tea Company Limited,NTC,DSEBD,Consumer non-durables
National Tubes Limited,NTLTUBES,DSEBD,Producer manufacturing
Nurani Dyeing & Sweater Ltd.,NURANI,DSEBD,Consumer non-durables
